2022-09-26 09:50:27 :: INFO :: waiting for new data ... 
2022-09-26 09:50:28 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:29 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:30 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:31 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:32 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:33 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:34 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:35 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:36 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:37 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:38 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:39 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:40 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:41 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:42 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:43 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:44 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:45 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:46 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:47 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:48 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:49 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:50 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:51 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:52 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:53 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:54 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:55 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:56 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:57 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:50:58 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:50:59 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:00 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:01 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:02 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:03 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:04 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:05 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:06 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:07 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:08 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:09 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:10 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:11 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:12 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:13 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:14 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:15 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:16 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:17 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:18 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:19 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:20 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:21 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:22 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:23 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:24 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:25 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:26 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:27 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:28 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:29 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:30 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:31 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:32 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:33 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:34 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:35 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:51:36 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:51:37 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
